Column,Variable,Label
OHX12LAD,0 to 9,"Range of Values"
OHX12LAD,99,"Cannot be assessed"
OHX12LAD,.,"Missing"
OHX12LAM,0 to 11,"Range of Values"
OHX12LAM,99,"Cannot be assessed"
OHX12LAM,.,"Missing"
OHX12LAS,0 to 10,"Range of Values"
OHX12LAS,99,"Cannot be assessed"
OHX12LAS,.,"Missing"
OHX12LAP,0 to 11,"Range of Values"
OHX12LAP,99,"Cannot be assessed"
OHX12LAP,.,"Missing"
OHX12LAL,0 to 10,"Range of Values"
OHX12LAL,99,"Cannot be assessed"
OHX12LAL,.,"Missing"
OHX12LAA,0 to 10,"Range of Values"
OHX12LAA,99,"Cannot be assessed"
OHX12LAA,.,"Missing"
OHX13CJD,-5 to 3,"Range of Values"
OHX13CJD,99,"Cannot be assessed"
OHX13CJD,.,"Missing"
OHX13CJM,-5 to 2,"Range of Values"
OHX13CJM,99,"Cannot be assessed"
OHX13CJM,.,"Missing"
OHX13CJS,-4 to 3,"Range of Values"
OHX13CJS,99,"Cannot be assessed"
OHX13CJS,.,"Missing"
OHX13CJP,-6 to 3,"Range of Values"
OHX13CJP,99,"Cannot be assessed"
OHX13CJP,.,"Missing"
OHX13CJL,-5 to 3,"Range of Values"
OHX13CJL,99,"Cannot be assessed"
OHX13CJL,.,"Missing"
OHX13CJA,-4 to 3,"Range of Values"
OHX13CJA,99,"Cannot be assessed"
OHX13CJA,.,"Missing"
OHX13PCD,0 to 6,"Range of Values"
OHX13PCD,99,"Cannot be assessed"
OHX13PCD,.,"Missing"
OHX13PCM,0 to 5,"Range of Values"
OHX13PCM,99,"Cannot be assessed"
OHX13PCM,.,"Missing"
OHX13PCS,0 to 8,"Range of Values"
OHX13PCS,99,"Cannot be assessed"
OHX13PCS,.,"Missing"
OHX13PCP,0 to 11,"Range of Values"
OHX13PCP,99,"Cannot be assessed"
OHX13PCP,.,"Missing"
OHX13PCL,0 to 11,"Range of Values"
OHX13PCL,99,"Cannot be assessed"
OHX13PCL,.,"Missing"
OHX13PCA,0 to 7,"Range of Values"
OHX13PCA,99,"Cannot be assessed"
OHX13PCA,.,"Missing"
OHX13LAD,0 to 9,"Range of Values"
OHX13LAD,99,"Cannot be assessed"
OHX13LAD,.,"Missing"
OHX13LAM,0 to 8,"Range of Values"
OHX13LAM,99,"Cannot be assessed"
OHX13LAM,.,"Missing"
OHX13LAS,0 to 9,"Range of Values"
OHX13LAS,99,"Cannot be assessed"
OHX13LAS,.,"Missing"
OHX13LAP,0 to 13,"Range of Values"
OHX13LAP,99,"Cannot be assessed"
OHX13LAP,.,"Missing"
OHX13LAL,0 to 13,"Range of Values"
OHX13LAL,99,"Cannot be assessed"
OHX13LAL,.,"Missing"
OHX13LAA,0 to 9,"Range of Values"
OHX13LAA,99,"Cannot be assessed"
OHX13LAA,.,"Missing"
OHX14CJD,-10 to 3,"Range of Values"
OHX14CJD,99,"Cannot be assessed"
OHX14CJD,.,"Missing"
OHX14CJM,-10 to 2,"Range of Values"
OHX14CJM,99,"Cannot be assessed"
OHX14CJM,.,"Missing"
OHX14CJS,-8 to 3,"Range of Values"
OHX14CJS,99,"Cannot be assessed"
OHX14CJS,.,"Missing"
OHX14CJP,-11 to 3,"Range of Values"
